# curie_map:
#   DS: https://digital-scriptorium.org/
#   edm: http://www.europeana.eu/schemas/edm/
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2024-01-12'
# mapping_set_version: DS_EDM_20240112.sssom.tsv
# object_source: http://www.europeana.eu/schemas/edm/
# subject_source: https://digital-scriptorium.org/

subject_id	subject_label	predicate_id	object_id	object label	author_id	mapping_date	comment
DS:Q1	Manuscript	skos:relatedMatch	edm:ProvidedCHO	Provided Cultural Heritage Object	orcid:0009-0005-3442-9096	1/7/2024	
DS:Q2	Holding	skos:relatedMatch	edm:EuropeanaAggregation	Europeana Aggregation	orcid:0009-0005-3442-9096	1/7/2024	Definition in EDM documentation: "The set of resources related to a single cultural heritage object that collectively represents that object in Europeana. Such set consists of: all descriptions about the object that Europeana collects from (possibly different) content providers, including thumbnails and other forms of abstractions, as well as of the description of the object Europeana builds"|DS does not host images
DS:Q3	DS 2.0 Record	skos:relatedMatch	edm:EuropeanaObject	Europeana Object	orcid:0009-0005-3442-9096	1/7/2024	
DS:Q4	Current				orcid:0009-0005-3442-9096	1/7/2024	
DS:Q5	Non-Current				orcid:0009-0005-3442-9096	1/7/2024	
DS:Q6	Standard Title	skos:closeMatch	dc:title	Title	orcid:0009-0005-3442-9096	1/7/2024	
DS:Q7	Actor (Name Authority)	skos:closeMatch	edm:agent	Agent	orcid:0009-0005-3442-9096	1/7/2024	Equivalent class: E39_Actor (CIDOC CRM)
DS:Q8	Personal (Name Authority)				orcid:0009-0005-3442-9096	1/7/2024	
DS:Q9	Corporate (Name Authority)				orcid:0009-0005-3442-9096	1/7/2024	
DS:Q10	Role (Authority File)				orcid:0009-0005-3442-9096	1/7/2024	
DS:Q11	Term (Authority File)				orcid:0009-0005-3442-9096	1/7/2024	
DS:Q12	Language (Authority File)				orcid:0009-0005-3442-9096	1/7/2024	
DS:Q13	Century (Authority File)	skos:broadMatch	edm:TimeSpan	Time Span	orcid:0009-0005-3442-9096	1/7/2024	Equivalent class: E52_Time-Span (CIDOC-CRM)|"Time span" is a broader term for a specific type of span ("century"); time span is an "abstract temporal extent"
