QID,Label,Type/class,Current description,Suggested description,Usage/constraints,Claim(s) to add,Notes
Q1,Manuscript,class,A manuscript,"Handwritten documents, particularly books and other documents created before the invention of mechanical printing","Here, this refers to a representation of an instance that is pointed to by the DS 2.0 Record entity [Q3], using the ""described manuscript"" predicate [P3]",,Connector/buffer node between DS2.0 Record and Holding entities; clearly demarcates descriptive from administrative metadata
Q2,Holding,class,Holding of a manuscript in an organization etc.,Instance of a manuscript that is held and maintained by an institution,,,Main node for connecting to metadata about holding institutions (administrative metadata)
Q3,DS 2.0 Record,class,A DS 2.0 metadata record,An instance of a metadata record that has been transformed to conform to the DS 2.0 data model,,,Primary node for descriptive metadata
Q4,Current,named individual,None,Describes a holding record that is current,,,
Q5,Non-Current,named individual,None,Describes a holding record that is out-of-date,,,
Q6,Standard Title,qualifier value/entity,"A standard (non-authoritative) string title to facilitate search (e.g., Bible, City of God, Metaphysics). Note: a Standard Title is a string value that does not designate a work; e.g., 'De rerum natura.', which can represent several works",,Applied as qualifier value to following property statement: title as recorded [P10],,
Q7,Actor (Name Authority),qualifier value/entity,An actor instance,"An instance and normalized appellation of a person, either an individual or group, who acts on an object in an intentional way",Applied as qualifier to following property statement:,Data type (external URI),
Q8,Personal (Name Authority),qualifier value/entity,A person instance,An instance and normalized appellation of an individual who acts on an object in an intentional way,"Subclass of ""Actor (Name Authority)"" [Q7]",Data type (external URI),
Q9,Corporate (Name Authority),qualifier value/entity,A corporate entity instance,"An instance and normalized appellation of a group, an organizational or corporate entity, that acts on an object in an intentional way","Subclass of ""Actor (Name Authority)"" [Q7]",Data type (external URI),
Q10,Role (Authority File),qualifier value/entity,Role of an actor related to a manuscript,"A defined way in which an actor relates to a manuscript, e.g., as former owner or author","Will take value of pre-defined entity with QID (a controlled list of terms, i.e., scribe, artist, author, etc.[Q18:21])",Data type (item),
Q11,Term (Authority File),qualifier value/entity,"An authorized subject, named subject, genre, form, or other term",,"Applied as qualifier value to following property statement: ""term in authority file"" [P20], which is itself a qualified property of ""genre as recorded"" [P18]",Data type (external URI),
Q12,Language (Authority File),qualifier value/entity,Language in which the text of the manuscript is written,Preferred (authoritative) term for the language in which the text of the manuscript is written,"Applied as qualifier value to following property statement: ""language in authority file"" [P21], which is itself a qualified property of ""language as recorded"" [P22]",Data type (external URI),
Q13,Century (Authority File),qualifier value/entity,Century,"A unit of time lasting 100 years, selected from a controlled authorized listing","Applied as qualifier value using P24, ""production century as recorded,"" which modifies the string value associated with P23, ""production date as recorded""; takes QID/item as value [Q54:Q105]","Data type (item)| Q13 P42 ""Q579"" #has Wikidata QID ""Q579""",
Q14,Dated,named individual,None,Describes a record that has a date assertion,,,
Q15,Non-dated,named individual,None,Describes a record that has no date assertion,,,
Q16,Place (Authority File),qualifier value/entity,A place,"Refers to a historical named place, area, or current geographical location",Takes authority file URI as value,Data type (external URI),
Q17,Material (Authority File),qualifier value/entity,"Physical medium of manuscript (parchment, paper, etc.)",,Will take value of pre-defined entity with QID (generated from a controlled list [Q22-Q38]),Data type (item),
Q18,Author,named individual,None,Person(s) who create the intellectual content and compose text of manuscripts,,,
Q19,Artist,named individual,None,Person(s) who illustrate or otherwise produce visual work for manuscripts,,,
Q20,Scribe,named individual,None,"Person(s) responsible for transcribing, copying, and editing manuscripts",,,
Q21,Former owner,named individual,None,Person(s) who at some point held legal title to a manuscript object,,,
Q1284,Associated agent,qualifier value/entity [named individual?],None,"An entity that has the power to act in the world of discourse (for example, a person or a group of people) that is associated with some other actor","has an ""instance of"" claim that should be a ""subclass of"" claim?",,
